image_path,source_label,binary_label,binary_name,style_label,official_split,extension
/home/simone_grandinetti/Second-Project-Real-vs-AI-Art-Classification/data/raw/real-ai-art/Real_AI_SD_LD_Dataset/train/renaissance/carlo-urbino_design-for-the-decoration-of-the-front-wall-of-a-chapel-1575.jpg,Human,0,Real/Human,Renaissance,train,.jpg
/home/simone_grandinetti/Second-Project-Real-vs-AI-Art-Classification/data/raw/real-ai-art/Real_AI_SD_LD_Dataset/train/surrealism/mikulas-medek_head-lamp-lamp-head-1967.jpg,Human,0,Real/Human,Surrealism,train,.jpg
/home/simone_grandinetti/Second-Project-Real-vs-AI-Art-Classification/data/raw/real-ai-art/Real_AI_SD_LD_Dataset/train/AI_LD_renaissance/6-812949618-826307.jpg,Latent_Diffusion,1,Fake/AI,Renaissance,train,.jpg
/home/simone_grandinetti/Second-Project-Real-vs-AI-Art-Classification/data/raw/real-ai-art/Real_AI_SD_LD_Dataset/train/AI_SD_post_impressionism/4-861193362-122608.jpg,Stable_Diffusion,1,Fake/AI,Post_Impressionism,train,.jpg
/home/simone_grandinetti/Second-Project-Real-vs-AI-Art-Classification/data/raw/real-ai-art/Real_AI_SD_LD_Dataset/train/art_nouveau/gustav-klimt_water-snakes-ii.jpg,Human,0,Real/Human,Art_Nouveau,train,.jpg
/home/simone_grandinetti/Second-Project-Real-vs-AI-Art-Classification/data/raw/real-ai-art/Real_AI_SD_LD_Dataset/train/ukiyo_e/kitagawa-utamaro_2082.jpg,Human,0,Real/Human,Ukiyo_e,train,.jpg
/home/simone_grandinetti/Second-Project-Real-vs-AI-Art-Classification/data/raw/real-ai-art/Real_AI_SD_LD_Dataset/train/AI_SD_art_nouveau/0-808845216-183863.jpg,Stable_Diffusion,1,Fake/AI,Art_Nouveau,train,.jpg
/home/simone_grandinetti/Second-Project-Real-vs-AI-Art-Classification/data/raw/real-ai-art/Real_AI_SD_LD_Dataset/train/renaissance/otto-van-veen_the-claudius-civilis-conspiracy-with-the-batavians-in-the-schakerbos.jpg,Human,0,Real/Human,Renaissance,train,.jpg
/home/simone_grandinetti/Second-Project-Real-vs-AI-Art-Classification/data/raw/real-ai-art/Real_AI_SD_LD_Dataset/train/renaissance/pieter-brueghel-the-younger_river.jpg,Human,0,Real/Human,Renaissance,train,.jpg
/home/simone_grandinetti/Second-Project-Real-vs-AI-Art-Classification/data/raw/real-ai-art/Real_AI_SD_LD_Dataset/train/AI_LD_surrealism/8-876358651-204380.jpg,Latent_Diffusion,1,Fake/AI,Surrealism,train,.jpg
/home/simone_grandinetti/Second-Project-Real-vs-AI-Art-Classification/data/raw/real-ai-art/Real_AI_SD_LD_Dataset/train/AI_LD_expressionism/2-720005629-557723.jpg,Latent_Diffusion,1,Fake/AI,Expressionism,train,.jpg
/home/simone_grandinetti/Second-Project-Real-vs-AI-Art-Classification/data/raw/real-ai-art/Real_AI_SD_LD_Dataset/train/AI_SD_renaissance/6-698949817-866045.jpg,Stable_Diffusion,1,Fake/AI,Renaissance,train,.jpg
/home/simone_grandinetti/Second-Project-Real-vs-AI-Art-Classification/data/raw/real-ai-art/Real_AI_SD_LD_Dataset/train/post_impressionism/augustus-john_david-and-dorelia-in-normandy-1908.jpg,Human,0,Real/Human,Post_Impressionism,train,.jpg
/home/simone_grandinetti/Second-Project-Real-vs-AI-Art-Classification/data/raw/real-ai-art/Real_AI_SD_LD_Dataset/train/AI_SD_baroque/1-348004153-4737.jpg,Stable_Diffusion,1,Fake/AI,Baroque,train,.jpg
/home/simone_grandinetti/Second-Project-Real-vs-AI-Art-Classification/data/raw/real-ai-art/Real_AI_SD_LD_Dataset/train/baroque/caravaggio_christ-before-caiaphas.jpg,Human,0,Real/Human,Baroque,train,.jpg
/home/simone_grandinetti/Second-Project-Real-vs-AI-Art-Classification/data/raw/real-ai-art/Real_AI_SD_LD_Dataset/train/baroque/frans-snyders_return-from-the-hunt.jpg,Human,0,Real/Human,Baroque,train,.jpg
/home/simone_grandinetti/Second-Project-Real-vs-AI-Art-Classification/data/raw/real-ai-art/Real_AI_SD_LD_Dataset/train/AI_LD_impressionism/3-390077139-952604.jpg,Latent_Diffusion,1,Fake/AI,Impressionism,train,.jpg
/home/simone_grandinetti/Second-Project-Real-vs-AI-Art-Classification/data/raw/real-ai-art/Real_AI_SD_LD_Dataset/train/impressionism/mikhail-nesterov_haystacks.jpg,Human,0,Real/Human,Impressionism,train,.jpg
/home/simone_grandinetti/Second-Project-Real-vs-AI-Art-Classification/data/raw/real-ai-art/Real_AI_SD_LD_Dataset/train/AI_SD_art_nouveau/0-532696591-509827.jpg,Stable_Diffusion,1,Fake/AI,Art_Nouveau,train,.jpg
/home/simone_grandinetti/Second-Project-Real-vs-AI-Art-Classification/data/raw/real-ai-art/Real_AI_SD_LD_Dataset/train/art_nouveau/ivan-bilibin_illustration-for-the-russian-fairy-story-the-frog-princess-1899-2.jpg,Human,0,Real/Human,Art_Nouveau,train,.jpg
/home/simone_grandinetti/Second-Project-Real-vs-AI-Art-Classification/data/raw/real-ai-art/Real_AI_SD_LD_Dataset/train/post_impressionism/constantin-piliuta_the-three-graces-1972.jpg,Human,0,Real/Human,Post_Impressionism,train,.jpg
/home/simone_grandinetti/Second-Project-Real-vs-AI-Art-Classification/data/raw/real-ai-art/Real_AI_SD_LD_Dataset/train/art_nouveau/aubrey-beardsley_the-kiss-of-judas.jpg,Human,0,Real/Human,Art_Nouveau,train,.jpg
/home/simone_grandinetti/Second-Project-Real-vs-AI-Art-Classification/data/raw/real-ai-art/Real_AI_SD_LD_Dataset/train/AI_LD_realism/5-858094125-147509.jpg,Latent_Diffusion,1,Fake/AI,Realism,train,.jpg
/home/simone_grandinetti/Second-Project-Real-vs-AI-Art-Classification/data/raw/real-ai-art/Real_AI_SD_LD_Dataset/train/renaissance/ambrogio-bergognone_polyptych-in-santo-spirito-bergamo-detail-1507-2.jpg,Human,0,Real/Human,Renaissance,train,.jpg
/home/simone_grandinetti/Second-Project-Real-vs-AI-Art-Classification/data/raw/real-ai-art/Real_AI_SD_LD_Dataset/train/AI_LD_renaissance/6-416869491-645323.jpg,Latent_Diffusion,1,Fake/AI,Renaissance,train,.jpg
/home/simone_grandinetti/Second-Project-Real-vs-AI-Art-Classification/data/raw/real-ai-art/Real_AI_SD_LD_Dataset/train/baroque/dirck-van-baburen_st-sebastian-attended-by-st-irene-and-her-maid-1615.jpg,Human,0,Real/Human,Baroque,train,.jpg
/home/simone_grandinetti/Second-Project-Real-vs-AI-Art-Classification/data/raw/real-ai-art/Real_AI_SD_LD_Dataset/train/AI_LD_post_impressionism/4-906177688-624762.jpg,Latent_Diffusion,1,Fake/AI,Post_Impressionism,train,.jpg
/home/simone_grandinetti/Second-Project-Real-vs-AI-Art-Classification/data/raw/real-ai-art/Real_AI_SD_LD_Dataset/train/ukiyo_e/utagawa-toyokuni-i_2931.jpg,Human,0,Real/Human,Ukiyo_e,train,.jpg
/home/simone_grandinetti/Second-Project-Real-vs-AI-Art-Classification/data/raw/real-ai-art/Real_AI_SD_LD_Dataset/train/expressionism/egon-schiele_self-portrait-with-arm-twisting-above-head-1910.jpg,Human,0,Real/Human,Expressionism,train,.jpg
/home/simone_grandinetti/Second-Project-Real-vs-AI-Art-Classification/data/raw/real-ai-art/Real_AI_SD_LD_Dataset/train/romanticism/edward-burne-jones_arthur-in-avalon.jpg,Human,0,Real/Human,Romanticism,train,.jpg
/home/simone_grandinetti/Second-Project-Real-vs-AI-Art-Classification/data/raw/real-ai-art/Real_AI_SD_LD_Dataset/train/AI_LD_realism/5-825544302-983263.jpg,Latent_Diffusion,1,Fake/AI,Realism,train,.jpg
/home/simone_grandinetti/Second-Project-Real-vs-AI-Art-Classification/data/raw/real-ai-art/Real_AI_SD_LD_Dataset/train/AI_LD_romanticism/7-649610032-972556.jpg,Latent_Diffusion,1,Fake/AI,Romanticism,train,.jpg
/home/simone_grandinetti/Second-Project-Real-vs-AI-Art-Classification/data/raw/real-ai-art/Real_AI_SD_LD_Dataset/train/AI_LD_ukiyo-e/9-633888913-418737.jpg,Latent_Diffusion,1,Fake/AI,Ukiyo_e,train,.jpg
/home/simone_grandinetti/Second-Project-Real-vs-AI-Art-Classification/data/raw/real-ai-art/Real_AI_SD_LD_Dataset/train/AI_SD_post_impressionism/4-580398189-579114.jpg,Stable_Diffusion,1,Fake/AI,Post_Impressionism,train,.jpg
/home/simone_grandinetti/Second-Project-Real-vs-AI-Art-Classification/data/raw/real-ai-art/Real_AI_SD_LD_Dataset/train/ukiyo_e/utagawa-kunisada-ii_1490.jpg,Human,0,Real/Human,Ukiyo_e,train,.jpg
/home/simone_grandinetti/Second-Project-Real-vs-AI-Art-Classification/data/raw/real-ai-art/Real_AI_SD_LD_Dataset/train/AI_LD_ukiyo-e/9-956238909-259882.jpg,Latent_Diffusion,1,Fake/AI,Ukiyo_e,train,.jpg
/home/simone_grandinetti/Second-Project-Real-vs-AI-Art-Classification/data/raw/real-ai-art/Real_AI_SD_LD_Dataset/train/expressionism/carl-holsoe_interior-0.jpg,Human,0,Real/Human,Expressionism,train,.jpg
/home/simone_grandinetti/Second-Project-Real-vs-AI-Art-Classification/data/raw/real-ai-art/Real_AI_SD_LD_Dataset/train/art_nouveau/arthur-rackham_he-nears-he-nears-in-fury.jpg,Human,0,Real/Human,Art_Nouveau,train,.jpg
/home/simone_grandinetti/Second-Project-Real-vs-AI-Art-Classification/data/raw/real-ai-art/Real_AI_SD_LD_Dataset/train/impressionism/kimon-loghi_beginning-of-springtime.jpg,Human,0,Real/Human,Impressionism,train,.jpg
/home/simone_grandinetti/Second-Project-Real-vs-AI-Art-Classification/data/raw/real-ai-art/Real_AI_SD_LD_Dataset/train/post_impressionism/maurice-utrillo_the-passage-the-dead-end.jpg,Human,0,Real/Human,Post_Impressionism,train,.jpg
